type,slug,image_url,hero_image_url,portrait_url,tagline,quote,city,country,source_url
perfume,sarantis-c-thru-coral-dream,,,,,,,Greece,
perfume,antonio-maretti-ego,,,,,,,Italy,
perfume,vera-wang-rock-princess-2023,,,,,,,USA,
perfume,teo-cabanel-jaspe,,,,,,,France,
perfume,lr-heidi-klum,,,,,,,Germany,
perfume,natura-vovo,,,,,,,Brazil,
perfume,antonio-banderas-her-secret-game,,,,,,,USA,
perfume,coty-ex-cla-ma-tion-blush,,,,,,,USA,
perfume,tiffany-sheer-tiffany,,,,,,,USA,
perfume,fcuk-fcuk-connect-her,,,,,,,UK,
perfume,hugo-boss-boss-alive-eau-de-toilette,,,,,,,Germany,
perfume,salvador-dali-itisdream,,,,,,,Spain,
perfume,xerjoff-elle-anniversary,,,,,,,Italy,
perfume,gisada-ambassador-women,,,,,,,Switzerland,
perfume,gianmarco-venturi-gianmarco-venturi-femme,,,,,,,Italy,
perfume,maissa-parfums-vanilla,,,,,,,Lebanon,
perfume,sergio-tacchini-be-st,,,,,,,Italy,
perfume,maitre-parfumeur-et-gantier-freesia-d-or,,,,,,,France,
perfume,sergio-tacchini-with-you,,,,,,,Italy,
perfume,teo-cabanel-julia,,,,,,,France,
perfume,miguel-matos-burnt-flower,,,,,,,Portugal,
perfume,nabeel-hadeel,,,,,,,UAE,
perfume,avon-delicious-sensations-caramapple,,,,,,,USA,
perfume,clean-blonde-rose,,,,,,,USA,
perfume,avon-rare-onyx,,,,,,,USA,
perfume,kenzo-l-eau-kenzo-pour-femme-sunlight-edition-limitee,,,,,,,France,
perfume,oriflame-dare-to-shine,,,,,,,Sweden,
perfume,oriflame-rival,,,,,,,Sweden,
perfume,revlon-charlie-black,,,,,,,USA,
perfume,gritti-fenice,,,,,,,Italy,
perfume,j-scent-hakka,,,,,,,Japan,
perfume,faberlic-boom-couture,,,,,,,Russia,
perfume,faberlic-gracefl,,,,,,,Russia,
perfume,angel-schlesser-so-essential,,,,,,,Spain,
perfume,faberlic-promenade,,,,,,,Russia,
perfume,iceberg-iceberg-effusion-woman,,,,,,,Italy,
perfume,paris-hilton-just-me,,,,,,,USA,
perfume,thera-cosmeticos-hipos,,,,,,,Brazil,
perfume,floral-street-chypre-sublime,,,,,,,UK,
perfume,costume-national-secret-woods,,,,,,,Italy,
perfume,montale-pink-extasy,,,,,,,France,
perfume,o-boticario-glamour-gold-glam,,,,,,,Brazil,
perfume,aaron-terence-hughes-filth,,,,,,,UK,
perfume,histoires-de-parfums-this-is-not-a-blue-bottle-1-7,,,,,,,France,
perfume,dzintars-akords,,,,,,,Latvia,
perfume,moschino-stars,,,,,,,Italy,
perfume,zara-metamber,,,,,,,Spain,
perfume,borntostandout-drunk-lovers,,,,,,,South Korea,
perfume,new-brand-parfums-venezia,,,,,,,USA,
perfume,borntostandout-nsfw,,,,,,,South Korea,
perfume,sarantis-c-thru-wanderlust-dream,,,,,,,Greece,
perfume,cuba-paris-cuba-cactus,,,,,,,France,
perfume,faberlic-supergirl,,,,,,,Russia,
perfume,giorgio-beverly-hills-ocean-dream-coral,,,,,,,USA,
perfume,brocard-terra-incognita-siberia,,,,,,,Russia,
perfume,l-erbolario-magnolia,,,,,,,Italy,
perfume,jeanne-arthes-love-generation-leopard,,,,,,,France,
perfume,lpdo-sexuel,,,,,,,Italy,
perfume,byredo-mumbai-noise,,,,,,,Sweden,
perfume,giardini-di-toscana-bianco-oro,,,,,,,Italy,
perfume,narciso-rodriguez-all-of-me,,,,,,,USA,
perfume,avon-black-essential-night,,,,,,,USA,
perfume,o-boticario-xtreme,,,,,,,Brazil,
perfume,al-rehab-rihanat,,,,,,,Arabia saudi,
perfume,robert-piguet-notes,,,,,,,France,
perfume,avon-riviera-goddess,,,,,,,USA,
perfume,min-new-york-coda,,,,,,,USA,
perfume,oriflame-miss-happy,,,,,,,Sweden,
perfume,oriflame-venture-power,,,,,,,Sweden,
perfume,michael-kors-sexy-ruby,,,,,,,USA,
perfume,faberlic-incognito,,,,,,,Russia,
perfume,cuba-paris-cuba-blue,,,,,,,France,
perfume,id-parfums-reve-de-bahia,,,,,,,France,
perfume,granado-tonka,,,,,,,Brazil,
perfume,mcmc-fragrances-maui,,,,,,,USA,
perfume,the-body-shop-vanilla,,,,,,,UK,
perfume,shay-blue-london-blood-oranges,,,,,,,UK,
perfume,j-scent-cafe,,,,,,,Japan,
perfume,calvin-klein-eternity-aromatic-essence,,,,,,,USA,
perfume,police-the-sinner,,,,,,,Italy,
perfume,faberlic-bouquet-d-aurore,,,,,,,Russia,
perfume,illuminum-white-musk,,,,,,,UK,
perfume,adopt-parfums-pamplemousse-grenade,,,,,,,France,
perfume,faberlic-chocolate-story,,,,,,,Russia,
perfume,rance-1795-heroique,,,,,,,France,
perfume,ajmal-solace,,,,,,,UAE,
perfume,ajmal-bling,,,,,,,UAE,
perfume,dina-cosmetics-dagger,,,,,,,France,
perfume,parfums-de-marly-darcy,,,,,,,France,
perfume,kenzo-flower-by-kenzo-summer-fragrance-2006,,,,,,,France,
perfume,yves-rocher-ming-shu,,,,,,,France,
perfume,loewe-aire-sensual,,,,,,,Spain,
perfume,boadicea-the-victorious-virtuous,,,,,,,UK,
perfume,comptoir-sud-pacifique-sultan-safran,,,,,,,France,
perfume,antonio-banderas-diavolo-extremely-woman,,,,,,,USA,
perfume,custo-barcelona-glam-star,,,,,,,Spain,
perfume,caron-vetiver-infini-2021,,,,,,,France,
perfume,franck-boclet-blue-moon,,,,,,,France,
perfume,bruno-banani-made-for-women,,,,,,,Germany,
perfume,bruno-banani-dangerous-man,,,,,,,Germany,
perfume,perry-ellis-sky,,,,,,,USA,
perfume,avon-instinct-for-her,,,,,,,USA,
perfume,avon-simply-her,,,,,,,USA,
perfume,avon-cherry-mousse,,,,,,,USA,
perfume,fragonard-mon-immortelle,,,,,,,France,
perfume,nishane-deziro,,,,,,,Turkey,
perfume,yves-rocher-desir-de-nature,,,,,,,France,
perfume,mexx-mexx-cocktail-summer-woman,,,,,,,Netherlands,
perfume,giardini-di-toscana-scintilla,,,,,,,Italy,
perfume,benetton-b-united-jeans-woman,,,,,,,Italy,
perfume,o-boticario-quasar-graffiti,,,,,,,Brazil,
perfume,tommy-hilfiger-loud-for-her,,,,,,,USA,
perfume,jo-loves-cobalt-patchouli-cedar,,,,,,,UK,
perfume,reminiscence-vanille,,,,,,,France,
perfume,chabaud-maison-de-parfum-eau-de-source,,,,,,,France,
perfume,courreges-seconde-peau,,,,,,,France,
perfume,haute-fragrance-company-hfc-divine-blossom,,,,,,,France,
perfume,linn-young-silver-light,,,,,,,Netherlands,
perfume,maitre-parfumeur-et-gantier-camelia-chinois,,,,,,,France,
perfume,masaki-matsushima-tokyo-days,,,,,,,Japan,
perfume,liz-claiborne-curve-kicks-for-men,,,,,,,USA,
perfume,mandarina-duck-so-bella-so-chic,,,,,,,Italy,
perfume,fueguia-1833-misiones,,,,,,,Argentina,
perfume,michael-malul-london-139-spice,,,,,,,USA,
perfume,heretic-parfums-florgasm,,,,,,,USA,
perfume,bond-no-9-little-italy,,,,,,,USA,
perfume,calvin-klein-eternity-for-men-intense,,,,,,,USA,
perfume,caron-miss-rocaille,,,,,,,France,
